Kanji,Reading,JLPT,Type,Meaning
['点々'],"[['ちょぼちょぼ'], ['チョボチョボ']]",3,"['&adv;', '&adv-to;']","['sparsely', 'drop-by-drop']"
['冷んやり'],[['ひんやり']],3,"['&adv;', '&adv-to;', '&vs;']","['cool', 'chilly', 'feeling nice and cold']"
['暗然'],[['あんぜん']],3,"['&adj-t;', '&adv-to;']","['dark', 'gloomy', 'black', 'unclear']"
['画然'],[['かくぜん']],3,"['&adj-t;', '&adv-to;']","['clear (distinction)', 'distinct', 'clear-cut', 'sharp']"
['決然'],[['けつぜん']],3,"['&adj-t;', '&adv-to;']","['decisive', 'resolute', 'determined', 'firm']"
['轟然'],[['ごうぜん']],3,"['&adj-t;', '&adv-to;']","['roaring', 'thundering', 'thunderous', 'deafening', 'ear-splitting']"
['細々'],[['こまごま']],3,"['&adv;', '&adv-to;', '&vs;']","['minutely', 'in detail', 'with particular attention']"
['細々'],[['ほそぼそ']],3,"['&adv;', '&adv-to;']",['poor (living)']
['整然'],[['せいぜん']],3,"['&adj-t;', '&adv-to;']","['orderly', 'regular', 'systematic', 'well-organized', 'well-organised', 'trim', 'tidy', 'accurate']"
['平然'],[['へいぜん']],3,"['&adj-t;', '&adv-to;']","['calm', 'composed', 'cool', 'quiet']"
['呆然'],"[['ぼうぜん'], ['もうぜん'], ['ボーゼン']]",3,"['&adj-t;', '&adv-to;']","['dumbfounded', 'overcome with surprise', 'in blank amazement', 'in a daze']"
['冷や冷や'],[['ひやひや']],3,"['&adv;', '&adv-to;', '&vs;']",['feeling chilly']
['冷然'],[['れいぜん']],3,"['&adj-t;', '&adv-to;']","['cold (attitude)', 'indifferent', 'unsympathetic', 'aloof']"
['和気あいあい'],[['わきあいあい']],3,"['&adj-t;', '&adv-to;']","['harmonious', 'peaceful', 'congenial', 'friendly', 'happy']"
['傲然'],[['ごうぜん']],3,"['&adj-t;', '&adv-to;']","['proud', 'arrogant', 'haughty']"
['凛然'],[['りんぜん']],3,"['&adj-t;', '&adv-to;']","['commanding', 'awe-inspiring']"
['慄然'],[['りつぜん']],3,"['&adj-t;', '&adv-to;']","['terrified', 'horrified']"
['憮然'],[['ぶぜん']],3,"['&adj-t;', '&adv-to;']","['disappointed', 'dejected', 'disheartened', 'glum', 'astonished', 'dumbfounded']"
['截然'],"[['せつぜん'], ['さいぜん']]",3,"['&adj-t;', '&adv-to;']","['clear', 'sharp', 'distinct', 'distinctive']"
['渾然'],[['こんぜん']],3,"['&adj-t;', '&adv-to;']","['whole', 'entire', 'harmonious', 'well-rounded']"
['卒然'],[['そつぜん']],3,"['&adj-t;', '&adv-to;']","['sudden', 'unexpected', 'unannounced', 'abrupt']"
['続々'],[['ぞくぞく']],3,"['&adv;', '&adv-to;']","['successively', 'one after another']"
['次々'],[['つぎつぎ']],3,"['&adv;', '&adv-to;', '&n;']","['in succession', 'one by one']"
['点々'],[['てんてん']],3,"['&adv;', '&adv-to;']","['here and there', 'little by little', 'sporadically', 'scattered in drops']"
['温々'],[['ぬくぬく']],3,"['&adv;', '&adv-to;', '&vs;']","['snugly', 'cosily', 'warmly', 'comfortably']"
['深々'],[['ふかぶか']],3,['&adv-to;'],['very deeply']
['満々'],[['まんまん']],3,"['&adj-t;', '&adv-to;']","['full of', 'brimming with']"
['労々'],[['ろうろう']],3,"['&adj-t;', '&adv-to;']",['tired out']
['消然'],[['しょうぜん']],3,"['&adj-t;', '&adv-to;']","['dejected', 'dispirited', 'crestfallen', 'discouraged']"
['歴然'],[['れきぜん']],3,"['&adj-t;', '&adv-to;']","['evident', 'plain', 'distinct', 'clear']"
['宛然'],[['えんぜん']],3,"['&adj-t;', '&adv-to;']","['as if', 'the very thing itself']"
['沛然'],[['はいぜん']],3,"['&adj-t;', '&adv-to;']",['torrential (rain)']
['愕然'],[['がくぜん']],3,"['&adj-t;', '&adv-to;']","['astonished', 'shocked', 'amazed', 'astounded', 'aghast']"
['忽然'],[['こつぜん']],3,"['&adj-t;', '&adv-to;']","['sudden', 'abrupt', 'unexpected']"
